,remote_changes
1431,"[{'score': 0.520228, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.962322, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.888253, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1432,[]
1433,"[{'score': 0.574817, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1434,"[{'score': 0.516756, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.847026, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1435,"[{'score': 0.686566, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.96417, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1436,"[{'score': 0.650761, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.5687, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1437,"[{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1438,[]
1439,"[{'score': 0.820593, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1440,"[{'score': 0.740595, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
1441,"[{'score': 0.720783, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1442,"[{'score': 0.982476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1443,"[{'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1444,"[{'score': 0.916667, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
1445,"[{'score': 0.5533, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1446,"[{'score': 0.84639, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.53889, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1447,"[{'score': 0.795565, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1448,[]
1449,"[{'score': 0.617478, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.519491, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1450,"[{'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1451,"[{'score': 0.916667, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
1452,"[{'score': 0.60456, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
1453,[]
1454,"[{'score': 0.533768, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.962875, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.589192, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
1455,"[{'score': 0.502911, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.85591, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.900364, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1456,
1457,"[{'score': 0.990161, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1458,"[{'score': 0.779898, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.606284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1459,"[{'score': 0.659112, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1460,"[{'score': 0.639829, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.825947, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1461,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1462,"[{'score': 0.974578, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1463,"[{'score': 0.793659, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1464,"[{'score': 0.993019, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1465,"[{'score': 0.857009, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1466,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1467,"[{'score': 0.957529, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1468,"[{'score': 0.611576, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.881046, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1469,[]
1470,"[{'score': 0.694442, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1471,[]
1472,"[{'score': 0.67017, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.939116, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1473,[]
1474,"[{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1475,[]
1476,"[{'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1477,"[{'score': 0.895415, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1478,"[{'score': 0.896785, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1479,"[{'score': 0.93143, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1480,"[{'score': 0.915109, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1481,"[{'score': 0.795534, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1482,"[{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1483,"[{'score': 0.577976, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1484,[]
1485,"[{'score': 0.792696, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1486,"[{'score': 0.533052, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1487,"[{'score': 0.525007, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1488,[]
1489,"[{'score': 0.8766, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1490,"[{'score': 0.976998, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1491,"[{'score': 0.705784, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1492,"[{'score': 0.711887, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.845297, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1493,[]
1494,"[{'score': 0.901894, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1495,"[{'score': 0.519491, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1496,[]
1497,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1498,"[{'score': 0.965509, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1499,"[{'score': 0.605872, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1500,[]
1501,[]
1502,"[{'score': 0.533033, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1503,[]
1504,"[{'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1505,[]
1506,"[{'score': 0.957292, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.596122, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1507,"[{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1508,"[{'score': 0.533682, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1509,"[{'score': 0.505973, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
1510,"[{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1511,"[{'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
1512,[]
1513,[]
1514,"[{'score': 0.743104, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1515,"[{'score': 0.579436, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
1516,[]
1517,[]
1518,"[{'score': 0.542747, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.895772, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1519,"[{'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1520,"[{'score': 0.887457, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1521,"[{'score': 0.543375, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.944551, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1522,"[{'score': 0.52936, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1523,"[{'score': 0.895195, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.942817, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1524,[]
1525,[]
1526,"[{'score': 0.541471, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
1527,[]
1528,"[{'score': 0.847208, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1529,"[{'score': 0.677506, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1530,"[{'score': 0.510257, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
1531,"[{'score': 0.694442, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.920327, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1532,[]
1533,"[{'score': 0.519207, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
1534,"[{'score': 0.601256, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.73677, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1535,[]
1536,"[{'score': 0.529117, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1537,"[{'score': 0.793381, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.808202, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1538,"[{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1539,"[{'score': 0.874714, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1540,[]
1541,"[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1542,"[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1543,[]
1544,[]
1545,[]
1546,"[{'score': 0.818552, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.802429, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1547,[]
1548,"[{'score': 0.566936, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.681302, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.895195, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1549,[]
1550,[]
1551,"[{'score': 0.936605, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.917968, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1552,"[{'score': 0.6821, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
1553,[]
1554,"[{'score': 0.505291, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.995055, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.914329, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1555,"[{'score': 0.952441, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
1556,"[{'score': 0.916667, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
1557,[]
1558,"[{'score': 0.620609, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
1559,[]
1560,"[{'score': 0.569262, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1561,"[{'score': 0.865159, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.525007, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1562,"[{'score': 0.586495, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.775702, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
1563,"[{'score': 0.566515, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1564,"[{'score': 0.616459, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.646387, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1565,"[{'score': 0.510172, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.573521, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1566,"[{'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
1567,[]
1568,"[{'score': 0.720111, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1569,"[{'score': 0.947344, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1570,[]
1571,"[{'score': 0.916667, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
1572,"[{'score': 0.746925, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1573,"[{'score': 0.948704, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.789226, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1574,[]
1575,"[{'score': 0.664451, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1576,"[{'score': 0.812013, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.939923, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1577,"[{'score': 0.643897, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
1578,"[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1579,"[{'score': 0.634673, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.957696, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1580,"[{'score': 0.979617, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1581,"[{'score': 0.775384, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1582,"[{'score': 0.61224, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.907142, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1583,[]
1584,"[{'score': 0.913819, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1585,"[{'score': 0.773514, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.660207, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
1586,[]
1587,"[{'score': 0.968123, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1588,"[{'score': 0.554773, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
1589,"[{'score': 0.743104, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1590,"[{'score': 0.731636, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.978371, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.821101, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1591,[]
1592,[]
1593,[]
1594,"[{'score': 0.509225, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.616426, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.767592, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
1595,"[{'score': 0.55388, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
1596,"[{'score': 0.518726, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
1597,[]
1598,[]
1599,[]
1600,"[{'score': 0.992758, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
1601,"[{'score': 0.686213, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.836523, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.916592, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1602,"[{'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1603,[]
1604,"[{'score': 0.530248, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.711887, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1605,"[{'score': 0.58727, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.915214, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.715007, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1606,"[{'score': 0.60456, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1607,"[{'score': 0.727123, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
1608,[]
1609,"[{'score': 0.825035, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1610,"[{'score': 0.525007, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1611,"[{'score': 0.707954, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.707538, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.798695, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1612,"[{'score': 0.583194, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1613,"[{'score': 0.599188, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
1614,"[{'score': 0.793846, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.836129, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1615,"[{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1616,[]
1617,"[{'score': 0.598602, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
1618,"[{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1619,[]
1620,[]
1621,"[{'score': 0.596122, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.978371, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1622,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1623,[]
1624,"[{'score': 0.8152, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1625,"[{'score': 0.659886, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1626,"[{'score': 0.540562, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
1627,[]
1628,"[{'score': 0.965509, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1629,"[{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1630,"[{'score': 0.84209, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1631,"[{'score': 0.642504, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.914329, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1632,"[{'score': 0.616426, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1633,[]
1634,"[{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1635,"[{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1636,"[{'score': 0.961411, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1637,"[{'score': 0.573422, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.647986, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1638,"[{'score': 0.552704, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.790954, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1639,"[{'score': 0.916667, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
1640,"[{'score': 0.589295, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1641,"[{'score': 0.816179, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.831637, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1642,"[{'score': 0.70483, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1643,"[{'score': 0.694514, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1644,"[{'score': 0.501597, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.802429, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.865388, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1645,[]
1646,"[{'score': 0.902911, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1647,"[{'score': 0.694442, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1648,"[{'score': 0.534111, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.868982, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.570549, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1649,"[{'score': 0.705719, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.91171, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
1650,"[{'score': 0.994446, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1651,"[{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1652,"[{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1653,"[{'score': 0.72969, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.883574, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
1654,"[{'score': 0.637246, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
1655,"[{'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1656,"[{'score': 0.666013, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
1657,"[{'score': 0.544941, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
1658,"[{'score': 0.868982, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1659,[]
1660,"[{'score': 0.640243, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
1661,"[{'score': 0.547992, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.937689, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
1662,"[{'score': 0.515711, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.907247, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1663,"[{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1664,"[{'score': 0.784724, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.950475, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1665,"[{'score': 0.512424, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
1666,[]
1667,"[{'score': 0.517727, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.650466, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1668,
1669,"[{'score': 0.667104, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1670,"[{'score': 0.602842, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.694442, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.586281, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1671,"[{'score': 0.627822, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.647986, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1672,[]
1673,[]
1674,"[{'score': 0.601046, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.956639, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1675,"[{'score': 0.795049, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.773608, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1676,"[{'score': 0.880245, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1677,"[{'score': 0.655656, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.792422, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.770435, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1678,[]
1679,"[{'score': 0.743104, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1680,"[{'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.968209, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1681,[]
1682,"[{'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.660207, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
1683,"[{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1684,"[{'score': 0.944845, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.857009, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1685,"[{'score': 0.987926, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1686,"[{'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1687,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1688,"[{'score': 0.974578, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1689,"[{'score': 0.539169, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.865388, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.832372, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1690,"[{'score': 0.828638, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1691,[]
1692,"[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1693,"[{'score': 0.994551, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1694,"[{'score': 0.957696, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.942233, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1695,"[{'score': 0.991736, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
