,why_mode
2211,[]
2212,"[{'score': 0.576109, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.827288, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.931994, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2213,
2214,"[{'score': 0.97667, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2215,[]
2216,[]
2217,"[{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2218,"[{'score': 0.608269, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2219,[]
2220,[]
2221,"[{'score': 0.560961, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.898858, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2222,[]
2223,[]
2224,[]
2225,[]
2226,"[{'score': 0.828638, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.525007, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2227,"[{'score': 0.942817, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2228,"[{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2229,"[{'score': 0.51615, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.866434, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2230,"[{'score': 0.58752, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2231,[]
2232,
2233,"[{'score': 0.883404, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2234,
2235,"[{'score': 0.513054, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.93143, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.947969, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2236,"[{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2237,"[{'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2238,
2239,"[{'score': 0.829888, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2240,"[{'score': 0.917965, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2241,
2242,"[{'score': 0.502473, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2243,"[{'score': 0.67787, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
2244,"[{'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2245,"[{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2246,"[{'score': 0.961593, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2247,"[{'score': 0.540378, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2248,"[{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.618451, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
2249,
2250,"[{'score': 0.81088, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.60456, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2251,"[{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2252,"[{'score': 0.584805, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
2253,"[{'score': 0.703409, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2254,"[{'score': 0.664699, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2255,"[{'score': 0.712325, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
2256,
2257,[]
2258,"[{'score': 0.541218, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.706892, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.708284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2259,
2260,"[{'score': 0.517569, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.908592, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2261,[]
2262,"[{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2263,
2264,"[{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2265,"[{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2266,"[{'score': 0.576022, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.562568, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2267,"[{'score': 0.529613, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2268,"[{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2269,"[{'score': 0.807548, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2270,[]
2271,"[{'score': 0.593343, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.73677, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2272,"[{'score': 0.818141, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.828525, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
2273,"[{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2274,"[{'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2275,
2276,"[{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2277,[]
2278,"[{'score': 0.66071, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.825035, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
2279,[]
2280,"[{'score': 0.859009, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2281,"[{'score': 0.60491, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.818471, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.914573, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2282,"[{'score': 0.63591, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.781949, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.928936, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2283,[]
2284,[]
2285,"[{'score': 0.531994, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.647986, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2286,[]
2287,"[{'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2288,
2289,[]
2290,"[{'score': 0.947344, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2291,"[{'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2292,"[{'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2293,"[{'score': 0.667994, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.814359, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.90962, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2294,"[{'score': 0.637116, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.743104, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2295,"[{'score': 0.825035, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2296,"[{'score': 0.736466, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2297,"[{'score': 0.635357, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.862286, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2298,"[{'score': 0.679434, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
2299,"[{'score': 0.936487, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2300,"[{'score': 0.908301, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2301,"[{'score': 0.520173, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.87913, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2302,"[{'score': 0.503177, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2303,"[{'score': 0.974506, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.911392, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2305,[]
2306,"[{'score': 0.944551, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2307,
2308,
2309,"[{'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2310,[]
2311,"[{'score': 0.592138, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.664451, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2312,"[{'score': 0.893882, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2313,"[{'score': 0.93884, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2314,"[{'score': 0.876262, 'tone_id': 'fear', 'tone_name': 'Fear'}]"
2315,"[{'score': 0.751891, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.988725, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2316,"[{'score': 0.735673, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2317,"[{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2318,"[{'score': 0.563757, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2319,"[{'score': 0.767592, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
2320,"[{'score': 0.601046, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2321,"[{'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2322,"[{'score': 0.94477, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2323,"[{'score': 0.533708, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2324,"[{'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2325,
2326,"[{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2327,"[{'score': 0.970179, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2328,
2329,[]
2330,"[{'score': 0.771234, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.817737, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.813431, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2331,"[{'score': 0.681575, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
2332,"[{'score': 0.892152, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.525007, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2333,
2334,"[{'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2335,"[{'score': 0.560028, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
2336,"[{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2337,"[{'score': 0.896021, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2338,"[{'score': 0.968123, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2339,"[{'score': 0.543112, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2340,
2341,"[{'score': 0.564236, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.70123, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2342,"[{'score': 0.73677, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2343,"[{'score': 0.982476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2344,
2345,"[{'score': 0.821913, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.509368, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
2346,"[{'score': 0.634748, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.829186, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2347,"[{'score': 0.551668, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.93884, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
2348,[]
2349,[]
2350,"[{'score': 0.659896, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2351,[]
2352,"[{'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2353,"[{'score': 0.631826, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.699729, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2354,[]
2355,"[{'score': 0.522462, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.857009, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2356,
2357,[]
2358,
2359,"[{'score': 0.542579, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.631794, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2360,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2361,"[{'score': 0.901894, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2362,"[{'score': 0.647986, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2363,"[{'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2364,[]
2365,"[{'score': 0.910428, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2366,[]
2367,[]
2368,"[{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2369,"[{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
2370,"[{'score': 0.591498, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2371,"[{'score': 0.535353, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.994446, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2372,"[{'score': 0.665747, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.795534, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.722899, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2373,"[{'score': 0.991736, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2374,"[{'score': 0.921915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.789226, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2375,[]
2376,"[{'score': 0.982476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2377,"[{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
2378,"[{'score': 0.653342, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.952999, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2379,
2380,"[{'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2381,"[{'score': 0.528437, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.53933, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2382,"[{'score': 0.8152, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2383,[]
2384,"[{'score': 0.698713, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.781949, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2385,"[{'score': 0.641257, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2386,
2387,"[{'score': 0.584002, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.862286, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2388,"[{'score': 0.61237, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.814653, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.84639, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2389,"[{'score': 0.676008, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2390,"[{'score': 0.980838, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2391,[]
2392,"[{'score': 0.558213, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.705784, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2393,
2394,
2395,
2396,"[{'score': 0.536079, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2397,"[{'score': 0.704683, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.904038, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2398,"[{'score': 0.963083, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2399,"[{'score': 0.518468, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
2400,[]
2401,
2402,"[{'score': 0.969459, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2403,"[{'score': 0.504229, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
2404,
2405,"[{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2406,"[{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
2407,[]
2408,"[{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.982476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2409,"[{'score': 0.74948, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2410,"[{'score': 0.572357, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
2411,"[{'score': 0.525007, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2412,"[{'score': 0.901894, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2413,[]
2414,
2415,"[{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2416,"[{'score': 0.739936, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.85591, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2417,"[{'score': 0.786991, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2418,"[{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.845297, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2419,"[{'score': 0.852209, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2420,"[{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2421,
2422,"[{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2423,
2424,"[{'score': 0.793846, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2425,"[{'score': 0.638987, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
2426,[]
2427,"[{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2428,"[{'score': 0.829131, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.562568, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2429,"[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2430,
2431,[]
2432,"[{'score': 0.774803, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.747663, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2433,[]
2434,[]
2435,"[{'score': 0.518968, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2436,
2437,"[{'score': 0.735673, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2438,"[{'score': 0.659112, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.886684, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2440,
2441,"[{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2442,[]
2443,[]
2444,"[{'score': 0.743104, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2445,
2446,"[{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2447,"[{'score': 0.965509, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2448,[]
2449,
2450,"[{'score': 0.527318, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2451,"[{'score': 0.703388, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2452,"[{'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2453,
2454,"[{'score': 0.546659, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
2455,"[{'score': 0.606446, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.874372, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
2456,"[{'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2457,"[{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2458,[]
2459,
2460,"[{'score': 0.859009, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2461,"[{'score': 0.636458, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.63698, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2462,"[{'score': 0.537532, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.931276, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2463,"[{'score': 0.786991, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.905748, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2464,"[{'score': 0.974578, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2465,
2467,"[{'score': 0.974201, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2468,"[{'score': 0.663439, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.902803, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.871674, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2469,"[{'score': 0.712695, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
2470,
2471,[]
2472,"[{'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2473,"[{'score': 0.676523, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
2474,"[{'score': 0.505215, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2475,"[{'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2476,
2477,"[{'score': 0.500911, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.952443, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2478,"[{'score': 0.660583, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.664451, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2479,[]
2480,[]
2481,"[{'score': 0.632119, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.890188, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2482,"[{'score': 0.868982, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2483,
2484,[]
2485,"[{'score': 0.70346, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2486,"[{'score': 0.508405, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.601046, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2487,[]
2488,"[{'score': 0.781949, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2489,"[{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2490,[]
2491,"[{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2492,[]
2493,"[{'score': 0.902222, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2494,[]
2495,"[{'score': 0.753619, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
2496,"[{'score': 0.732897, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.631794, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2497,"[{'score': 0.646826, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
2498,[]
2499,"[{'score': 0.574326, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.789226, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.915571, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2500,"[{'score': 0.647297, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.786991, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2501,[]
2502,"[{'score': 0.571581, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
2503,
2504,"[{'score': 0.976469, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2505,"[{'score': 0.57374, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.893044, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2506,
2507,"[{'score': 0.860738, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2508,
2509,"[{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2510,"[{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2511,"[{'score': 0.631606, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
